id,idade,renda,cidade,categoria,nota,feedback
1,47.0,19142.87,Rio de Janeiro,A,6.7,Bom
2,71.0,12223.92,Belo Horizonte,B,5.2,Bom
3,63.0,30367.01,São Paulo,B,7.7,Bom
4,86.0,1302.5,São Paulo,A,4.0,Bom
5,26.0,25154.53,Belo Horizonte,A,6.9,Bom
6,45.0,35983.35,Vitória,A,6.5,Bom
7,53.0,2330.22,Rio de Janeiro,Desconhecido,8.3,Desconhecido
8,58.0,6771.96,Belo Horizonte,A,5.8,Bom
9,21.0,19197.31,Rio de Janeiro,B,9.5,Bom
10,49.25480283114257,26861.02,Rio de Janeiro,A,8.9,Bom
11,71.0,34702.4,Vitória,A,7.2,Bom
12,61.0,14818.07,Belo Horizonte,B,7.8,Bom
13,78.0,37558.61,Rio de Janeiro,A,5.7,Bom
14,37.0,37100.61,São Paulo,B,8.9,Bom
15,40.0,3376.35,São Paulo,B,6.2,Bom
16,60.0,3581.88,Rio de Janeiro,A,6.0,Bom
17,65.0,20423.85,Vitória,A,9.4,Bom
18,37.0,2157.68,Vitória,A,9.6,Bom
19,64.0,27196.09,Belo Horizonte,B,6.3,Bom
20,23.0,13377.12,Vitória,A,5.8,Bom
21,17.0,13672.56,Vitória,B,6.6,Bom
22,74.0,34922.7,São Paulo,A,5.3,Bom
23,56.0,2143.91,Belo Horizonte,A,7.5,Bom
24,24.0,4199.37,Belo Horizonte,A,9.3,Bom
25,59.0,22719.64,Vitória,B,5.6,Bom
26,74.0,32187.49,São Paulo,B,7.5,Bom
27,69.0,46176.78,Vitória,A,7.9,Bom
28,46.0,44507.82,Vitória,B,7.7,Bom
29,22.0,31478.45,São Paulo,B,5.0,Bom
30,50.0,24089.61,Vitória,B,5.5,Bom
31,28.0,34884.37,Vitória,B,7.4330303030303035,Desconhecido
32,71.0,14647.48,São Paulo,B,8.3,Bom
33,81.0,23790.36,Belo Horizonte,B,8.6,Bom
34,65.0,45232.6,Belo Horizonte,A,7.9,Bom
35,33.0,40213.24,São Paulo,B,9.6,Bom
36,73.0,10639.55,Rio de Janeiro,A,6.9,Bom
37,21.0,18776.12,Belo Horizonte,B,9.6,Bom
38,67.0,41188.17,Vitória,B,7.1,Bom
39,23.0,37514.02,Rio de Janeiro,B,9.7,Bom
40,24.0,23284.32,São Paulo,A,6.1,Bom
41,50.0,10077.7,Rio de Janeiro,B,6.2,Bom
42,81.0,23724.27,Vitória,B,7.1,Bom
43,81.0,1764.4,São Paulo,B,7.6,Bom
44,16.0,16801.03,São Paulo,B,7.2,Bom
45,22.0,41657.23,Rio de Janeiro,B,9.9,Bom
46,51.0,18368.02,Belo Horizonte,A,5.8,Bom
47,32.0,46247.57,Belo Horizonte,B,6.8,Bom
48,69.0,24020.45,Belo Horizonte,A,6.5,Bom
