id,idade,renda,categoria,nota,feedback,cidade_Belo Horizonte,cidade_Rio de Janeiro,cidade_São Paulo,cidade_Vitória,cidade_nan
1,-0.47257991778685704,0.8202421416924011,A,-0.8671611842627939,Bom,0.0,1.0,0.0,0.0,0.0
2,0.724713290470708,-1.3831319978026353,B,-0.1535201809278188,Bom,0.0,1.0,0.0,0.0,0.0
3,-0.921564870883444,-0.3056110456127073,A,0.10598563846671709,Bom,0.0,0.0,0.0,1.0,0.0
4,0.07617946933119361,0.9629320052881518,B,-0.9969140939600615,Bom,0.0,0.0,0.0,1.0,0.0
5,1.0240365925350994,1.458670439957671,B,1.3386382805907644,Bom,0.0,0.0,0.0,1.0,0.0
6,-1.5700986920229583,1.1652840030922582,B,0.8845030966503266,Bom,0.0,1.0,0.0,0.0,0.0
7,-1.270775389958567,-0.5058419377177306,A,1.3386382805907644,Bom,0.0,1.0,0.0,0.0,0.0
8,1.4730215456316862,-1.1282857914590885,B,-1.3861728230518662,Bom,0.0,0.0,0.0,1.0,0.0
9,0.22584112036338924,-0.23456923504958696,A,-0.41302600032235526,Bom,0.0,0.0,1.0,0.0,0.0
10,1.173698243567295,-0.09638681393241275,A,0.23573854816398532,Bom,0.0,0.0,1.0,0.0,0.0
11,-0.3229182667546614,0.8246292272101192,A,-0.7374082745655256,Bom,0.0,0.0,0.0,1.0,0.0
12,-0.5224671347975889,0.524222710572155,A,-1.4510492779005,Bom,0.0,0.0,1.0,0.0,0.0
13,-0.22314383273319766,-1.3731059657854288,A,0.7547501869530577,Bom,0.0,0.0,1.0,0.0,0.0
14,-0.17325661572246578,-0.6437702719175366,B,1.079132461196228,Bom,1.0,0.0,0.0,0.0,0.0
15,-1.0213393049049078,-0.5527365758004329,B,0.7547501869530577,Bom,0.0,1.0,0.0,0.0,0.0
16,-0.42269270077612514,-1.396240505317388,B,0.1708620933153515,Bom,0.0,1.0,0.0,0.0,0.0
17,-0.07348218170100201,0.9383427810070496,A,-0.5427789100196235,Bom,0.0,1.0,0.0,0.0,0.0
18,1.622683196663882,-1.2805210021728137,B,-1.3212963682032317,Bom,0.0,1.0,0.0,0.0,0.0
19,2.470765885846324,-1.7103900038193232,A,-3.1378371039649853,Bom,1.0,0.0,0.0,0.0,0.0
20,3.4685102260609613,-1.7452051121081937,A,-4.759748475180838,Bom,0.0,0.0,0.0,1.0,0.0
21,-0.3728054837653933,-1.6340695746950875,A,-0.34814954547372085,Bom,0.0,1.0,0.0,0.0,0.0
22,0.5251644224277805,0.13747641929057405,A,1.598144099985301,Bom,0.0,1.0,0.0,0.0,0.0
23,1.522908762642418,0.7389402716881827,,1.079132461196228,,0.0,1.0,0.0,0.0,0.0
24,-0.6222415688190527,-0.1148630933126208,A,-0.8671611842627939,Bom,0.0,0.0,0.0,1.0,0.0
25,3.4186230090502296,-1.68662990526858,A,-2.229566736084109,Bom,0.0,0.0,0.0,1.0,0.0
